14:23:00.793 block25.bin: 614.79;3;0;1;0;113;0;42;61;175.50;174.70;62;0.00;126;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:00.843 block26.bin: 614.79;2;0;1;0;113;0;42;61;175.50;174.90;62;0.00;123;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:00.894 block27.bin: 614.79;2;0;1;0;113;0;42;61;175.40;174.90;62;0.00;125;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:00.955 block28.bin: 614.79;2;0;1;0;113;16;42;61;174.80;174.50;62;0.00;123;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.010 block29.bin: 614.80;3;0;1;0;113;41;42;61;173.80;173.30;62;0.00;125;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.042 block30.bin: 614.80;3;0;1;0;113;41;43;61;173.10;172.20;62;0.00;124;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.115 block31.bin: 614.80;4;0;1;0;113;23;43;61;172.70;171.80;62;0.00;124;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.165 block32.bin: 614.80;4;0;1;0;113;15;43;61;175.00;174.50;62;0.00;124;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.220 block33.bin: 614.80;4;0;1;0;113;40;43;61;172.80;171.90;62;0.00;123;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.273 block34.bin: 614.81;4;0;1;0;113;0;43;61;175.00;174.30;62;0.00;125;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.325 block35.bin: 614.81;3;0;1;0;113;0;43;61;175.40;174.80;62;0.00;123;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.376 block36.bin: 614.81;2;0;1;0;113;0;43;61;175.50;174.80;62;0.00;125;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.426 block37.bin: 614.81;2;0;1;0;113;0;42;61;175.40;174.80;62;0.00;124;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.483 block38.bin: 614.81;1;0;1;0;113;0;42;61;175.10;174.80;62;0.00;125;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.537 block39.bin: 614.81;1;0;1;0;113;0;42;61;175.10;174.60;62;0.00;125;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;
14:23:01.587 block40.bin: 614.81;0;0;1;0;113;0;42;61;175.00;174.60;62;0.00;125;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.662 block41.bin: 614.81;0;0;1;0;113;0;42;61;175.00;174.60;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.703 block42.bin: 614.81;0;0;1;0;113;0;42;61;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.759 block43.bin: 614.81;0;0;1;0;113;0;42;60;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.824 block44.bin: 614.81;0;0;1;0;113;0;42;60;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.890 block45.bin: 614.81;0;0;1;0;113;0;42;60;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.920 block46.bin: 614.81;0;0;1;0;113;0;42;60;175.00;174.70;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:01.969 block47.bin: 614.81;0;0;1;0;113;0;42;60;175.00;174.70;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.035 block48.bin: 614.81;0;0;1;0;113;17;42;60;175.00;174.70;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.089 block49.bin: 614.82;0;0;1;0;113;33;42;60;175.00;174.70;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.141 block50.bin: 614.82;1;0;1;0;113;99;42;60;174.60;174.20;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.193 block51.bin: 614.82;3;0;1;0;113;0;43;60;171.60;170.00;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.243 block52.bin: 614.82;3;0;1;0;113;27;43;60;174.20;173.90;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.299 block53.bin: 614.82;4;0;1;0;113;28;43;60;173.50;172.70;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.384 block54.bin: 614.82;4;0;1;0;113;10;43;60;174.00;173.60;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.417 block55.bin: 614.83;4;0;1;0;113;9;43;60;174.50;174.00;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.492 block56.bin: 614.83;3;0;1;0;113;0;43;60;175.10;174.50;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.533 block57.bin: 614.83;3;0;1;0;113;0;43;60;175.40;174.90;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.589 block58.bin: 614.83;3;0;1;0;113;12;43;60;174.80;174.40;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.641 block59.bin: 614.83;3;0;1;0;113;29;43;60;174.50;174.20;62;0.00;126;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.697 block60.bin: 614.84;3;0;1;0;113;16;43;60;174.10;173.60;62;0.00;126;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.749 block61.bin: 614.84;3;0;1;0;113;5;42;61;174.40;174.00;62;0.00;126;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.799 block62.bin: 614.84;3;0;1;0;113;0;42;60;175.00;174.50;62;0.00;126;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.847 block63.bin: 614.84;2;0;1;0;113;6;42;60;174.70;174.50;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.924 block64.bin: 614.84;2;0;1;0;113;7;42;60;174.80;174.50;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:02.973 block65.bin: 614.84;2;0;1;0;113;15;42;60;174.70;174.40;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.028 block66.bin: 614.85;3;0;1;0;113;19;43;60;173.70;173.00;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.098 block67.bin: 614.85;2;0;1;0;113;0;43;60;175.50;174.80;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.127 block68.bin: 614.85;2;0;1;0;113;0;43;60;174.80;174.60;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.188 block69.bin: 614.85;1;0;1;0;113;0;43;60;175.20;174.70;62;0.00;127;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.254 block70.bin: 614.85;1;0;1;0;113;0;42;60;175.10;174.70;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.299 block71.bin: 614.85;0;0;1;0;113;0;42;60;174.90;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.357 block72.bin: 614.85;0;0;1;0;113;0;42;60;174.90;174.50;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.414 block73.bin: 614.85;0;0;1;0;113;0;42;59;174.90;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.464 block74.bin: 614.85;0;0;1;0;113;0;42;59;174.90;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.512 block75.bin: 614.85;0;0;1;0;113;0;42;59;174.90;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.590 block76.bin: 614.85;0;0;1;0;113;0;42;59;174.90;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.643 block77.bin: 614.85;0;0;1;0;113;0;42;59;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.700 block78.bin: 614.85;0;0;1;0;113;0;42;59;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.756 block79.bin: 614.85;0;0;1;0;113;0;42;59;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.794 block80.bin: 614.85;0;0;1;0;113;0;42;58;175.00;174.60;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
14:23:03.868 block81.bin: 614.85;0;0;1;0;113;0;42;58;175.00;174.70;62;0.00;128;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
