17:41:16.621 block31.bin: 619.66;4;43;0;1;68.00;-10.00;0;113;0;40;51;100.60;173.00;172.40;57;2234;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:16.654 block32.bin: 619.68;4;37;0;1;82.00;-10.00;0;113;0;40;52;100.60;173.10;172.50;57;1944;124;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:16.712 block33.bin: 619.70;4;32;0;1;89.10;-3.10;0;113;0;40;52;100.70;173.20;172.60;57;1676;126;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:16.783 block34.bin: 619.71;4;26;0;1;93.00;-8.30;0;113;0;40;52;100.70;173.20;172.70;57;1345;125;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:16.854 block35.bin: 619.73;4;23;0;1;100.00;7.80;0;113;18;40;52;100.60;172.80;172.40;57;1211;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:16.884 block36.bin: 619.74;4;25;0;1;11.00;5.20;0;113;2;40;52;100.40;172.00;171.70;57;1315;125;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:16.939 block37.bin: 619.75;4;24;0;1;49.00;6.80;0;113;12;40;53;100.60;172.80;172.30;57;1260;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:16.999 block38.bin: 619.77;4;28;0;1;125.00;26.10;0;113;32;40;53;100.20;171.50;170.90;57;1488;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.040 block39.bin: 619.79;4;38;0;1;171.00;46.60;0;113;66;40;53;99.90;170.30;169.30;57;1996;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.093 block40.bin: 619.81;4;44;0;1;95.00;26.00;0;113;26;40;53;99.90;170.10;169.00;57;2311;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.155 block41.bin: 619.84;4;45;0;1;40.00;10.70;0;113;11;40;53;100.20;171.20;170.60;57;2363;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.207 block42.bin: 619.86;4;45;0;1;44.00;11.10;0;113;12;40;53;100.30;171.70;171.30;57;2317;127;0;0;0;0;1;0;0;0;0;0;1;0;
17:41:17.261 block43.bin: 619.89;4;44;0;1;51.00;13.30;0;113;14;40;53;100.30;171.70;171.40;57;2284;127;0;0;0;0;1;0;0;0;0;0;1;0;
